14/2017; 16/01/2017; 14/02/2017; Vereador;»»CLEITON MARCIO FOSSÁ;Aprovada;INDICANDO-LHE:O; Bairro; Efapi é o maior bairro da cidade de Chapecó, sendo que atualmente está beirando o número de 30 mil habitantes.Encontra-se em local relativamente afastado de qualquer outra região da cidade, e, consequentemente, carece de maiorproximidade de postos de atendimentos relativos a serviços essenciais.É por isso que é luta antiga dos moradores a instalação de postos de atendimento da CASAN naquela região, até porque ofornecimento de água no Bairro Efapi vem sendo alvo de enorme número de reclamações. A falta de água é constante,havendo reclamação também sobre sua qualidade.É direito básico dos consumidores o acesso a um serviço público eficaz e adequado, conforme preconiza o art. 6º, X, daLei 8.078/90. A eficiência dos serviços públicos também advém da proximidade dos consumidores, razão pela qual postode atendimento da CASAN certamente será um grande passo para um melhor diagnóstico do problema e para a melhoriada qualidade desses serviços naquela região.Pelo exposto, solicito o apoio dos nobres Vereadores para aprovação da presente indicação, para que a CASAN realizetodos os esforços necessários para a instalação de posto de atendimento no Bairro Efapi.
15/2017; 16/01/2017; 14/02/2017; Vereador;»»CLEITON MARCIO FOSSÁ;Aprovada;INDICANDO-LHE:Foi; recebido; por este Vereador a solicitação de pedestres que frequentemente transitam pela Avenida Irineu Bornhausen,acerca da necessidade de instalação de passarelas para pedestres ao longo da via, especialmente no movimentado trecholocalizado no Bairro Quedas do Palmital, compreendido pelo entroncamento da via com as Ruas Vitória e PedroBordignon. O local é principal acesso aos Bairros Quedas do Palmital e Universitário e também a via de saída da cidadeem direção ao sul, razão pela qual a travessia de pedestres e veículos é intensa.
Pelo exposto, solicito o apoio dos nobres Vereadores para aprovação da presente indicação, nos termos supracitados16/2017; 17/01/2017; 14/02/2017; Vereador;»»CLEITON MARCIO FOSSÁ;Aprovada;14/01/2020; as; 15:21:33 Página 3/547Câmara Municipal de ChapecóProposição por Período (entre 01/01/2017 e 31/12/2019)Tipo: IndicaçãoNúmero Reunião Deliberação Origem SituaçãoINDICANDO-LHE:Os parques, praças e balneários públicos são espaços que proporcionam aos cidadãos muito além do simples lazer, comotambém melhor qualidade de vida. E ganham valor superior ao esperado quando se tratam de espaços localizados emregiões que não atraem tanto pessoas em épocas festivas e de férias. Sabe-se que nas férias de verão muitos chapecoensesviajam, especialmente para o litoral. mas a maioria permanece em Chapecó, razão pela qual tais espaços públicos ganhamainda mais importância.Ao visitar o Parque Verde Ângelo Sartori, localizado no Bairro Palmital, no corrente mês de janeiro, percebe-se grandeutilização por parte da população. Contudo, muito se tem a consertar, melhorar e reformar, para que aí sim tais espaços seadequem ao pretendido. São as necessidades a listagem a seguir, a qual compõe os pedidos desta indicação:- Troca da areia do parque infantil: a areia está repleta de pedras e isso acaba machucando as crianças.- Brinquedos adaptados no parque infantil: A Lei Municipal 6782/2015 determina que praças que possuam brinquedosdevem necessariamente possuir também brinquedos adaptados para crianças com necessidades especiais. No local não hátais brinquedos.- Cerca ao redor do parque infantil: o parque infantil é composto por brinquedos que se encontram instalados sobre caixasde areia. Contudo, a população local reclama que não é raro que animais de rua defequem nas caixas de areia. Se faznecessário, portanto, cercar esses espaços.- Manutenção ordinária constante: o parque está com mato alto, necessitando de urgente corte de toda a grama. Énecessário que se mantenha uma boa rotina de limpeza e corte de grama, em espaços de tempo compatíveis com a estação.No verão, sabe-se que as plantas tendem a crescer mais rapidamente, necessitando portanto de corte mais constante do queem outras estações.- Acessibilidade: as calçadas de corrida e caminhada encontram-se com depressões e pedras soltas, além de não possuíremestrutura adequada e acessíveis aos portadores de necessidades especiais.- Manutenção de mesas e churrasqueiras: as mesas e churrasqueiras encontram-se depredadas e mal conservadas. Alémdisso, necessita-se de maior estrutura nesse sentido, visto não se ter encontrado na visita número condizente com o grandeespaço e com a demanda da região.- Segurança e iluminação: em conversa com os frequentadores do Parque, verificou-se o receio de utilização do espaço noperíodo noturno, por falta de segurança e iluminação, tendo sido inclusive apontado por moradores próximo aos locais quenão é comum pessoas aproveitarem-se disso para fazer uso de drogas ilícitas no local. Verificou-se também que os poucospostes de luz encontram-se quebrados, havendo necessidade de manutenção deles e instalação de mais outros. É essencial acontratação de vigia para o Parque e a instalação de alguma espécie de controle de entrada e saída, como por exemploalgum sistema de cadastro.- Manutenção da quadra de futebol: a quadra de futebol encontra-se com a tela que a cerca totalmente danificada, piso malconservado e pinturas não visíveis.- Muitos locais verdes de lazer realizam convênios com as universidades que possuam em seus currículos o curso debiologia, com o fim de auxiliar na manutenção biológica da área com identificação das espécies de plantas e árvores aliencontradas. O cadastro e afixação de placas identificadoras das espécies tornam o local mais bonito, interessante, econsequentemente mais atrativo para a população.- Banheiros precisam de urgente manutenção, visto estarem corroídos pelo tempo. A limpeza também deve correr commais frequência, seja dos banheiros, seja do parque como um todo.- O Parque é cercado, mas em vários locais há falhas na cerca, propositalmente feitos, é necessário conserto.- Ao redor do parque inexistem calçadas para pedestres. Há inclusive placas de indicação para o trânsito instaladas bem nomeio do espaço a elas destinadas. Necessária portanto a imediata instalação das calçadas, em conformidade com a lei.- As lixeiras são em pequeno número, não apresentam opções de coleta seletiva, e estão quebradas. É necessário maiornúmero de lixeiras, com opções para a separação do lixo para posterior coleta seletiva.Pelo exposto, solicito o apoio dos nobres Vereadores para aprovação da presente indicação, para que sejam corrigidas asdeficiências acima citadas.
17/2017; 17/01/2017; 14/02/2017; Vereador;»»CLEITON MARCIO FOSSÁ;Aprovada;14/01/2020; as; 15:21:33 Página 4/547Câmara Municipal de ChapecóProposição por Período (entre 01/01/2017 e 31/12/2019)Tipo: IndicaçãoNúmero Reunião Deliberação Origem SituaçãoINDICANDO-LHE:Os parques, praças e balneários públicos são espaços que proporcionam aos cidadãos muito além do simples lazer, comotambém melhor qualidade de vida. E ganham valor superior ao esperado quando se tratam de espaços localizados emregiões que não atraem tanto pessoas em épocas festivas e de férias. Sabe-se que nas férias de verão muitos chapecoensesviajam, especialmente para o litoral. mas a maioria permanece em Chapecó, razão pela qual tais espaços públicos ganhamainda mais importância.Ao visitar o Parque das Palmeiras, localizado justamente no Bairro Parque das Palmeiras, no corrente mês de janeiro,percebe-se grande utilização por parte da população. Contudo, muito se tem a consertar, melhorar e reformar, para que aísim tais espaços se adequem ao pretendido. São as necessidades a listagem a seguir, a qual compõe os pedidos destaindicação:- Manutenção das calçadas de passeio e calçadas externas: A calçada externa (em frente ao parque) não está de acordo coma legislação vigente, e, ainda, como é feito de pedras, encontra-se com muito mato alto por toda a sua extensão. Já ascalçadas internas, utilizadas para caminhadas e corridas, encontram-se depredadas e também não são acessíveis. Énecessária, portanto, manutenção das calçadas internas e urgente instalação, de acordo com a lei, das calçadas externas.- Manutenção ordinária constante: o parque está com mato alto, necessitando de urgente corte de toda a grama e poda demuitas plantas, que inclusive estão atrapalhando a passagem de caminhantes. É necessário que se mantenha uma boa rotinade limpeza, poda de plantas e corte de grama, em espaços de tempo compatíveis com a estação. No verão, sabe-se que asplantas tendem a crescer mais rapidamente, necessitando portanto de corte mais constante do que em outras estações.- Manutenção de mesas e churrasqueiras: as mesas e churrasqueiras encontram-se depredadas, embora visivelmente severifique que as construções sejam recentes. Os ladrilhos de muitas mesas se soltaram e as pedras da base dessas estruturastambém.- Segurança e iluminação: verificou-se também a necessidade de maior iluminação noturna, visto não existir postessuficientes para clarear todo o parque a noite. É essencial a contratação de vigia para o Parque e a instalação de algumaespécie de controle de entrada e saída, como por exemplo algum sistema de cadastro. seria interessante também avaliar apossibilidade de instalação de câmeras de segurança.- A estrada que dá acesso a veículos encontra-se má conservada, sendo necessário a sua manutenção, por patrola, erecomendável instalar ali um calçamento ou algo semelhante.- Muitos locais verdes de lazer realizam convênios com as universidades que possuam em seus currículos o curso debiologia, com o fim de auxiliar na manutenção biológica da área com identificação das espécies de plantas e árvores aliencontradas. O cadastro e afixação de placas identificadoras das espécies tornam o local mais bonito, interessante, econsequentemente mais atrativo para a população.- As lixeiras são em pequeno número, não apresentam opções de coleta seletiva, e estão quebradas. É necessário maiornúmero de lixeiras, com opções para a separação do lixo para posterior coleta seletiva.- Limpeza: havia no local grande número de lixo, o que inclusive vem atraindo abelhas. É necessário ocorrer limpeza maisfrequente.Pelo exposto, solicito o apoio dos nobres Vereadores para aprovação da presente indicação, para que sejam corrigidas asdeficiências acima citadas.
18/2017; 17/01/2017; 14/02/2017; Vereador;»»CLEITON MARCIO FOSSÁ;Aprovada;14/01/2020; as; 15:21:33 Página 5/547Câmara Municipal de ChapecóProposição por Período (entre 01/01/2017 e 31/12/2019)Tipo: IndicaçãoNúmero Reunião Deliberação Origem SituaçãoINDICANDO-LHE:Os parques, praças e balneários públicos são espaços que proporcionam aos cidadãos muito além do simples lazer, comotambém melhor qualidade de vida. E ganham valor superior ao esperado quando se tratam de espaços localizados emregiões que não atraem tanto pessoas em épocas festivas e de férias. Sabe-se que nas férias de verão muitos chapecoensesviajam, especialmente para o litoral. mas a maioria permanece em Chapecó, razão pela qual tais espaços públicos ganhamainda mais importância.Ao visitar o Complexo Esportivo Verdão, localizado no Bairro Jardim América, no corrente mês de janeiro, percebe-segrande utilização por parte da população. Contudo, muito se tem a consertar, melhorar e reformar, para que aí sim taisespaços se adequem ao pretendido. São as necessidades a listagem a seguir, a qual compõe os pedidos desta indicação:- Conserto dos prédios: verifica-se que as construções estão depredadas: janelas quebradas, portas enferrujadas, paredesriscadas e pichadas. Se faz necessário a manutenção dos prédios nesse sentido, até porque danifica muito a imagem dolocal, dando a aparência de inseguro e abandonado.- Segurança e iluminação: em consequência ao item anterior, certamente se faz necessário o reforço da segurança e maioriluminação. É essencial a contratação de vigia para o Complexo e a instalação de alguma espécie de controle de entrada esaída, como por exemplo algum sistema de cadastro.- Manutenção ordinária constante: o Complexo está com mato alto, necessitando de urgente corte de toda a grama. Énecessário que se mantenha uma boa rotina de limpeza e corte de grama, em espaços de tempo compatíveis com a estação.No verão, sabe-se que as plantas tendem a crescer mais rapidamente, necessitando portanto de corte mais constante do queem outras estações.- Manutenção da quadra de futebol: a quadra de futebol encontra-se com a tela danificada, piso mal conservado e pinturasnão visíveis. Seria interessante também realizar a pintura da pista de skate.- Muitos locais verdes de lazer realizam convênios com as universidades que possuam em seus currículos o curso debiologia, com o fim de auxiliar na manutenção biológica da área com identificação das espécies de plantas e árvores aliencontradas. O cadastro e afixação de placas identificadoras das espécies tornam o local mais bonito, interessante, econsequentemente mais atrativo para a população.- No lado esquerdo do parque inexistem calçadas para pedestres. Necessária portanto a imediata instalação das calçadas,em conformidade com a lei.- As lixeiras são em pequeno número e não apresentam opções de coleta seletiva. É necessário maior número de lixeiras,com opções para a separação do lixo para posterior coleta seletiva.Pelo exposto, solicito o apoio dos nobres Vereadores para aprovação da presente indicação, para que sejam corrigidas asdeficiências acima citadas.
20/2017; 18/01/2017; 14/02/2017; Vereador;»»DIEGO FERNANDO ALVES;Aprovada;INDICANDO-LHE:Que; seja; feito o serviço de revitalização na Linha São Vedelino, mais precisamente Linha Paulo de Queiroz (entrando notrevo na RBS sentido Linha São Vedelino, cerca de 2500 mts sentido IBAMA próximo a uma residência de cores laranja everde de propriedade do Senhor Dalmir de Souza).Conforme fotos em anexo, a via que dá acesso a residência do Senhor Dalmir de Souza é um declive e em dias chuvosos setorna bem perigoso em decorrência da lama que ali se forma.Portanto, é de suma importância que seja feito o cascalhamento na via.
21/2017; 19/01/2017; 14/02/2017; Vereador;»»DIEGO FERNANDO ALVES;Aprovada;INDICANDO-LHE:Que; seja; feito o serviço de pintura no zinco do Ginásio da Escola Básica Municipal Dilso Cecchin.Os moradores das residências que ficam de frente para o ginásio sofrem diariamente com reflexo da luz que incide sobre otelhado de zinco do ginásio.Tais moradores relataram que a demanda já foi enviada diretamente para a prefeitura, mas até o momento nada foi feito.Solicitamos portanto que essa pintura seja feita o mais breve possível.
22/2017; 19/01/2017; 14/02/2017; Vereador;»»CLEITON MARCIO FOSSÁ;Aprovada;14/01/2020; as; 15:21:33 Página 6/547Câmara Municipal de ChapecóProposição por Período (entre 01/01/2017 e 31/12/2019)Tipo: IndicaçãoNúmero Reunião Deliberação Origem SituaçãoINDICANDO-LHE:O Bairro Efapi é o maior airro da Cidade de Chapecó, sendo que atualmente está beirando o número de 30 mil habitantes.Encontra-se em local relativamente afastado de qualquer outra região da cidade, e, consequentemente, carece de maiorproximidade de postos de atendimentos relativos a serviços essenciais.É por isso que é luta antiga dos moradores a instalação de posto de atendimento da CELESC naquela região, assim nãoexigindo dos moradores o percurso de quilômetros para ir até ao posto de atendimento do centro da cidade.É direito básico dos consumidores o acesso a um serviço público eficaz e adequado, conforme preconiza o art. 6º, X, daLei 8.078/90. A eficiência dos serviços públicos também advém da proximidade dos consumidores, razão pela qual postode atendimento da CELESC certamente será um grande passo para um melhor diagnóstico do problema e para a melhoriada qualidade desses serviços naquela região.Pelo exposto, solicito o apoio dos nobres Vereadores para aprovação da presente indicação, para que a CELESC realizetodos os esforços necessários para a instalação de posto de atendimento no Bairro Efapi.
24/2017; 20/01/2017; 14/02/2017; Vereador;»»CLAIMAR CESAR DE CONTO;Aprovada;; INDICANDO-LHEQue; encaminhe ao setor de direito, para que dentro das possibilidades, seja feita a substituição dos semáforos semindicação de tempo, por semáforos com temporizador na avenida Atílio Fontana cruzamento com a Rua Itaboraí no BairroEfapi,. Por se tratar de uma avenida o fluxo de veículos é intenso diariamente. Diante disso, a falta de semáforos comtemporizador é motivo de vários acidentes neste local. Tendo em vista a segurança das pessoas, diminuição dos acidentes ea flexibilidade no trânsito solicito o apoio dos nobres vereadores para aprovação da presente indicação.
25/2017; 20/01/2017; 14/02/2017; Vereador;»»ITAMAR ANTONIO AGNOLETTO;Aprovada;INDICANDO-LHE:Que; seja; realizado um estudo, a fim de construir uma Galeria contendo fotos e história de importantes profissionais daimprensa (in memoriam), e sua contribuição para a comunidade chapecoense. Importante que os mesmos fiquemimortalizados e que as novas gerações conheçam um pouco do seu legado. Como sugestão, que esta galeria seja instaladanum local a ser definido, do Centro de Cultura e Eventos.
