217/2017; 09/03/2017; 10/03/2017; Vereador;»»NEURI LUIZ MANTELLI;Aprovada;INDICANDO-LHE:Que; seja; realizado estudo a fim de aumentar o tempo em que o semáforo permanece aberto no cruzamento da avenidaLeopoldo Sander com a rua Faxinal dos Guedes, bairro Cristo Rei. Neste local, o tempo do sinal aberto é pequeno,causando transtorno quando caminhões carregados trafegam pelo local e não conseguem vencer o cruzamento antes defechar. Com uma avaliação no local, quem sabe seja possível dar mais tempo aberto, principalmente para quem vai sai dobairro Cristo Rei acessando a Leopoldo Sander, como também para quem trafega pela avenida em direção à rótula doposto Delta.
218/2017; 09/03/2017; 10/03/2017; Vereador;»»ASTRIT MARIA SAVARIS TOZZO;Aprovada;INDICANDO-LHE:Que; a; administração Municipal através da Secretaria responsável, realize um estudo de viabilidade técnica para ainstalação de redutor de velocidade no meio da quadra da Rua Jardim Europa, entre as Ruas Guaporé e Clóvis Locateli,Bairro Presidente Médici, neste Município.Ademais, ocorre que nesta via existe um grande fluxo de veículos, onde diante da inexistência de um redutor develocidade, motoristas tem causado inúmeros acidentes em razão da alta velocidade nos cruzamentos, consequentementecausando insegurança aos pedestres, moradores, trabalhadores e também dos condutores que trafegam no local.Desse modo, este gabinete recebeu reivindicações da comunidade em geral para melhoria do problema acima elencado,sendo que, este problema necessita ser averiguado pela Administração Municipal, em que pese ser de grande valia aointeresse público local.
219/2017; 09/03/2017; 10/03/2017; Vereador;»»ILDO ADÃO ANTONINI;Aprovada;INDICANDO-LHE:Que; a; Administração Municipal através da Secretaria de Infraestrutura e Serviços Urbanos faça um estudo técnico, paraimplantar uma Rótula na Rua Assis Brasil, esquina com Rua Barão do Rio Branco. Esta é uma reivindicação dos moradose motoristas que fazem uso da via, pois é um local de grande fluxo de pessoas, veículos, caminhões e motocicletas,destacando o fato de acesso a empresas e entidades importantes, como a Reunidas, Clínica da Mulher, Centro de Cultura,Eventos Plínio Arlindo de Nes, Cedup, Escola Pedro Maciel e Hotel. Essa situação acaba gerando muito risco a todos osusuários e inúmeros abalroamentos. Diante do exposto, se faz necessária a instalação da referida rótula, garantindo assimmaior segurança a todos que circulam pela região.
220/2017; 09/03/2017; 21/03/2017; Vereador;»»VALDEMIR ANTONIO STOBE;Aprovada;INDICANDO-LHE:Para; que; através da Secretaria de Serviços Urbanos e Infra Estrutura seja feito uma rotula na esquina da São Pedro com aÍndio Conda no Bairro Presidente Medici. A reivindicação é feita pelos moradores da localidade.
14/01/2020 as 15:21:33 Página 40/547Câmara Municipal de ChapecóProposição por Período (entre 01/01/2017 e 31/12/2019)Tipo: IndicaçãoNúmero Reunião Deliberação Origem Situação221/2017; 09/03/2017; 10/03/2017; Vereador;»»CLAIMAR CESAR DE CONTO;Aprovada;INDICANDO-LHEQue; encaminhe; ao setor de direito, que se faça um estudo de viabilidade para construção de uma lombada física na RuaRio de Janeiro próximo a Fazolo e ao Strike, este é um pedido recebido por este vereador advindo dos moradores da ruasupracitada, relataram que muitos veículos transitam em alta velocidade diariamente, visando a prevenção de acidentes esegurança das pessoas peço apoio dos nobres vereadores para aprovação da presente indicação.
222/2017; 09/03/2017; 10/03/2017; Vereador;»»DERLI MAIER;Aprovada;INDICANDO-LHE:Que; a; Administração Municipal viabilize a perfuração de um poço artesiano no Bairro São Pedro B, bem como a CASANajude com a implantação de uma rede de abastecimento nos locais que ainda não existem, importante destacar, que naquelacomunidade reside aproximadamente 120 famílias e o único vertedouro de água existente naquela localidade não se sabeaté quando suportará a demanda, posto que, atualmente, quando chove a água fica turva já se encontra escasso evisivelmente precário. E com a perfuração do referido as pessoas terão água de melhor qualidade.
223/2017; 09/03/2017; 10/03/2017; Vereador;»»IVALDO PIZZINATTO;Aprovada;INDICANDO-LHE:Que; o; Poder Executivo Municipal analise e promova o estudo de viabilidade visando a implementação de uma Creche naComunidade São Lucas. Trata-se de uma Comunidade que vem crescendo de forma significativa, com demanda quejustifica a construção de uma Creche. Desta forma, se faz essencial o apoio de todos os nobres edis na aprovação dapresente indicação.
224/2017; 09/03/2017; 20/03/2017; Vereador;»»ILDO ADÃO ANTONINI;Aprovada;INDICANDO-LHE:Que; a; Administração Municipal junto com a Secretaria de Defesa do Cidadão, dê continuidade no projeto de colocação deplacas de sinalização e seus respectivos nomes. Essa é uma solicitação do Sr. Roberto Caldas, proprietário da empresaEngenharia Central de Instalação LTDA. Dessa forma, destacando ainda que essa instalação irá beneficiar inúmeraspessoas, que precisam disso para realizar seus trabalhos, como Taxistas, Moto taxistas, entregadores, Assistentes de Saúdeentre outros que necessitam dessa ação.
225/2017; 09/03/2017; 10/03/2017; Vereador;»»DERLI MAIER;Aprovada;INDICANDO-LHE:Que; a; Administração Municipal através da Secretaria de Infraestrutura e Serviços Urbanos, faça um estudo para fazer apavimentação asfáltica na Rua Rio Grande do Norte, Bairro Santo Antônio, a referida não tem asfalto entre a Rua Paranáaté a Rua Beloni Trombeta Zanin, atualmente a rua é de chão batido e necessita urgente da manutenção, pois está cheio deburacos com difícil circulação. Para uma melhor qualidade de vida para os moradores locais, solicita-se que tal demandaseja suprida o mais breve possível.
226/2017; 09/03/2017; 10/03/2017; Vereador;»»DERLI MAIER;Aprovada;INDICANDO-LHE:Que; a; Administração Municipal através da Secretaria de Infraestrutura e Serviços Urbanos, faça um estudo para fazer apavimentação asfáltica na Rua Ermelindo Carlos Breda, Bairro Vila Real, a referida não tem asfalto entre a Rua CristaldoRodrigues Lima Júnior até a Rua Albino Sá Filho, atualmente a rua é de chão batido uma quadra de calçamento e necessitaurgente da manutenção, pois está cheio de buracos com difícil circulação. Para uma melhor qualidade de vida para osmoradores locais, solicita-se que tal demanda seja suprida o mais breve possível.
227/2017; 09/03/2017; 10/03/2017; Vereador;»»JOÃO MARIA MARQUES ROSA;Aprovada;INDICANDO-LHE:Solicito; a; instalação de academia ao ar livre no Bairro Palmital dos Fundos, próximo a comunidade. Tal indicaçãobaseia-se na solicitação dos moradores daquele Bairro e por haver espaço disponível para instalação.
14/01/2020 as 15:21:33 Página 41/547Câmara Municipal de ChapecóProposição por Período (entre 01/01/2017 e 31/12/2019)Tipo: IndicaçãoNúmero Reunião Deliberação Origem Situação228/2017; 10/03/2017; 20/03/2017; Vereador;»»CLEITON MARCIO FOSSÁ;Aprovada;INDICANDO-LHE:Foi; recebido; por este vereador a solicitação dos moradores das Ruas São Benedito, Pará e São Valentim, todas localizadasno Bairro São Pedro, próximo ao CEIM, acerca da sujeira da rua, consistente em galhos e entulhos, se fazendo necessária alimpeza.Pelo exposto, solicito o apoio dos nobres Vereadores para aprovação da presente indicação, para fins de se providenciar alimpeza e recolhimento de sujeiras e entulhos das ruas, conforme mencionado.
229/2017; 10/03/2017; 20/03/2017; Vereador;»»IVALDO PIZZINATTOASTRIT MARIA SAVARIS TOZZO;Aprovada;INDICANDO-LHE:Que; o; Poder Executivo Municipal analise, e se possível encaminhe a Esta Casa, Projeto de Lei reeditando os dispositivosda Lei Complementar nº 5510/2009, que regulamenta a padronização das placas indicativas dos logradouros, determinandoque seja de responsabilidade das administradoras dos novos loteamentos fornecer as placas de indicação das ruas dosmesmos.
230/2017; 14/03/2017; 20/03/2017; Vereador;»»DERLI MAIER;Aprovada;INDICANDO-LHE:Que; a; Administração Municipal através da Secretaria de Infraestrutura e Serviços Urbanos, faça um estudo para fazer apavimentação asfáltica na Travessa Sobral, Bairro Bela Vista.A referida rua não tem asfalto, encontra-se entre as Ruas Brusque e Hercílio Pedro da Luz, atualmente é de chão batido enecessita urgente da manutenção, pois está cheia de buracos com difícil circulação. Para uma melhor qualidade de vidapara os moradores locais, solicita-se que tal demanda seja suprida o mais breve possível.
231/2017; 14/03/2017; 20/03/2017; Vereador;»»DERLI MAIER;Aprovada;INDICANDO-LHE:Que; a; Administração Municipal através da Secretaria de Infraestrutura e Serviços Urbanos, faça um estudo para fazer apavimentação asfáltica na Rua São Leopoldo, Bairro Esplanada, a referida rua não tem asfalto, atualmente é de chão batidoe necessita urgente da manutenção, pois está cheia de buracos com difícil circulação. Para uma melhor qualidade de vidapara os moradores locais, solicita-se que tal demanda seja suprida o mais breve possível.
232/2017; 14/03/2017; 20/03/2017; Vereador;»»DERLI MAIER;Aprovada;INDICANDO-LHE:Que; seja; realizada pela Secretaria de Serviços Urbanos e Infra Estrutura, a construção de uma lombada física na RuaAfonso Pena, próximo ao Mercado e Açougue Planaltense, no Bairro Alvorada. Este é um pedido dos moradores, querelatam a alta velocidade dos veículos e motocicletas que trafegam neste local, causando acidentes e medo aos moradorese usuários da via.
233/2017; 14/03/2017; 22/03/2017; Vereador;»»JOÃO MARIA MARQUES ROSA;Aprovada;INDICANDO-LHE.Que; seja; realizada pela Secretaria de Serviços Urbanos e Infra Estrutura, a construção de uma lombada física na RuaValdemar Tormem, Loteamento Elias Gallon Efapi. A lombada poderá ser construída em frente a casa de número 93-D, doSenhor Lindomar Almeida. Este é um pedido dos moradores, que relatam a alta velocidade dos veículos, e motocicletasque trafegam neste local.
234/2017; 14/03/2017; 22/03/2017; Vereador;»»JOÃO MARIA MARQUES ROSA;Aprovada;INDICANDO-LHE:Que; a; Administração Municipal junto com a Secretaria de Defesa do Cidadão, dê continuidade no projeto de colocação deplacas de sinalização e seus respectivos nomes. Essa é uma solicitação dos moradores do Loteamento Elias Gallon noBairro Efapi, Dessa forma, facilita o trabalho dos correios, entre outros que necessitam dessa ação.
14/01/2020 as 15:21:33 Página 42/547Câmara Municipal de ChapecóProposição por Período (entre 01/01/2017 e 31/12/2019)Tipo: IndicaçãoNúmero Reunião Deliberação Origem Situação235/2017; 14/03/2017; 20/03/2017; Vereador;»»JOÃO LUIS SIQUEIRA;Aprovada;INDICANDO-LHE:Solicito; a; instalação de Contâiners de lixos recicláveis e orgânicos na Rua Nilo Ficagna, Bairro Quedas do Palmital, poisnão há no local, lugar adequado para que seja feita semanalmente a coleta de lixo.
236/2017; 14/03/2017; 20/03/2017; Vereador;»»JOÃO LUIS SIQUEIRA;Aprovada;INDICANDO-LHE:Que; seja; realizada pela Secretaria de Serviços Urbanos e Infra Estrutura, a construção de duas lombadas física, no inicio eno final da Rua Teotônio Vilela, Bairro Passo dos Fortes. Os moradores estão preocupados, devido ao excesso develocidade e por ocasionar acidentes, colocando em risco a vida de moradores que moram e transitam no local. Por essesmotivos, foram feitos dois abaixo-assinados reivindicando para que haja segurança no local.
237/2017; 14/03/2017; 20/03/2017; Vereador;»»JOÃO LUIS SIQUEIRA;Aprovada;INDICANDO-LHE:Solicito; a; instalação de Contâiners de lixos Recicláveis e Orgânicos na Rua Salvador, Bairro Universitário, pois não há nolocal, lugar adequado para que seja feita semanalmente a coleta de lixo.
238/2017; 15/03/2017; 20/03/2017; Vereador;»»DIEGO FERNANDO ALVES;Aprovada;INDICANDO-LHE:Que; seja; feita a pavimentação asfáltica ou calçamento na esquina das Ruas Rio de Janeiro com a Lauro Kirschner noBairro Presidente Médici, nas imediações da casa número 3170 D. A Rua Lauro Kirschner foi feita com pavimentaçãoasfáltica e a Rua Rio de Janeiro com calçamento. Porém a esquina de ligação das duas ruas é de terra e possui umainclinação que leva lama para a frente das residências. Esse local possui valetas que dificultam a passagem de automóveis. Solicita-se que tal demanda seja atendida com brevidade para o bem estar da população.
239/2017; 15/03/2017; 20/03/2017; Vereador;»»ADERBAL ANTONIO P. DA SILVA;Aprovada;INDICANDO-LHE:Os; moradores; da Rua João Costa do Nascimento, solicitam uma lombada física entre as Ruas Olavo Bilac e Castro Alves,no Bairro Jardim América, próximo ao Bazar TALISMÃ, pois os carros transitam em alta velocidade podendo ocorreracidentes.
240/2017; 15/03/2017; 20/03/2017; Vereador;»»ADERBAL ANTONIO P. DA SILVA;Aprovada;INDICANDO-LHE:Que; no; trecho da Rua Mato Grosso, entre a Rua Uruguai e Lauro Müller, seja proibido o estacionamento e parada deveículos em um dos lados da via. O grande fluxo de carros em horários de chegada e saída da escola, coincidindo estescom horários de pico gerando grandes problemas de mobilidade na região como congestionamento e acidentes.
241/2017; 15/03/2017; 20/03/2017; Vereador;»»ADERBAL ANTONIO P. DA SILVA;Aprovada;e; ao; Senhor CLAUDIOMIRO AMARAL – Secretário de Defesa do Cidadão e Mobilidade Urbana.INDICANDO-LHE:Que no trecho da Rua Mato Grosso entre a Rua Marechal Deodoro da Fonseca e Barão do Rio Branco, seja proibido oestacionamento e parada de veículos em um dos lados da via. O grande fluxo de carros em horários de chegada e saída daescola, coincidindo estes com horários de pico, gerando grandes problemas de mobilidade na região comocongestionamento e acidentes.
242/2017; 15/03/2017; 20/03/2017; Vereador;»»ADERBAL ANTONIO P. DA SILVA;Aprovada;14/01/2020; as; 15:21:33 Página 43/547Câmara Municipal de ChapecóProposição por Período (entre 01/01/2017 e 31/12/2019)Tipo: IndicaçãoNúmero Reunião Deliberação Origem Situaçãoe ao Senhor CLAUDIOMIRO AMARAL – Secretário de Defesa do Cidadão e Mobilidade Urbana.INDICANDO-LHE:Que no trecho da Rua Achiles Tomazeli entre a Rua Assis Brasil e Borges de Medeiros, seja proibido o estacionamento eparada de veículos em um dos lados da via. O grande fluxo de carros em horários de chegada e saída da escola,coincidindo estes com horários de pico gerando grandes problemas de mobilidade na região como congestionamento eacidentes.
243/2017; 15/03/2017; 20/03/2017; Vereador;»»CLEITON MARCIO FOSSÁ;Aprovada;INDICANDO-LHE:Foi; recebido; por este Vereador a solicitação dos moradores da Rua Marcilio Dias, proximidades do número 518, BairroBela Vista, acerca da necessidade de manutenção do bueiro ali localizado.O Bueiro encontra-se entupido com entulhos, entulhos que inclusive advém em razão da depressão que liga o asfalto aobueiro. Seria necessária a elevação do bueiro, ou análise de uma solução melhor, vez que, conforme as fotografias emanexo, passa a impressão de estar afundando na pavimentação.Pelo exposto, solicito o apoio dos nobres Vereadores para aprovação da presente indicação, para fins de limpeza emelhoramentos do supracitado bueiro.
244/2017; 15/03/2017; 20/03/2017; Vereador;»»CLEITON MARCIO FOSSÁ;Aprovada;INDICANDO-LHE:Foi; recebido; por este Vereador a solicitação dos moradores da Rua Rio Grande do Norte, no Bairro Santo Antônio, sobre anecessidade de pavimentação ou melhoramentos semelhantes.Solicito o apoio dos nobres Vereadores para aprovação da presente indicação, para fins melhoramentos ou pavimentaçãoda supracitada rua.
245/2017; 15/03/2017; 20/03/2017; Vereador;»»CLEBER CECCON;Aprovada;INDICANDO-LHE:Que; seja; realizado pela Secretaria de Serviços Urbanos e Infraestrutura, a construção de tubulação e boca de lobo, na RuaIsrael, ao lado da EBM André Antonio Marafon, no Bairro Esplanada. A Indicação se faz necessária, pois no local ocorreo perigo de acidentes devido a tubulação estar danificada, possibilitando a queda de veículos, motocicletas e pedestres,estudantes que passam pelo local. A construção de tubulação, é a solução para melhorar a qualidade de vida destesmoradores. Foto em anexo.
246/2017; 16/03/2017; 04/04/2017; Vereador;»»VALDEMIR ANTONIO STOBE;Aprovada;INDICANDO-LHE:Para; que; através da Secretaria de Serviços Urbanos e Infraestrutura seja feita uma lombada redutora de velocidade na RuaMascarenhas de Moraes, no Bairro Divisa do Jardim América com o Parque das Palmeiras (referência: condomínio aolado do Supermercado Brasão) (motivo: maior segurança aos moradores e crianças que ali transitam, devido a mesmapossuir uma Creche em suas imediações). A pedido de moradores do local.
247/2017; 16/03/2017; 20/03/2017; Vereador;»»CLEITON MARCIO FOSSÁ;Aprovada;INDICANDO-LHE:Verifica-se; nos; bairros de Chapecó a inexistência de placas identificadoras das ruas, ou quando muito, poucas placas feitasde material que se deteriora e não permite mais a sua leitura, por serem aparentemente confeccionados em plásticoimpresso.Sabe-se por conseguinte da necessidade de o Município providenciar projeto que reorganize o sistema de numeração,identificação de ruas e CEP, por inclusive solicitação da própria Empresa de Correios. Foram diversas proposições,inclusive o Requerimento nº 006/2016 (não respondido pela municipalidade) e a recente Moção nº 018/2017.Contudo, se faz necessária ao menos que a padronização e instalação das placas de identificação sejam desde jáprovidenciadas, em material que não se deteriore facilmente, a exemplo daquele que há nas áreas centrais da cidade.São por essas razões que solicito o apoio dos Nobres Vereadores para aprovação da presente indicação, para fins de seprovidenciar a identificação das ruas de nossa cidade, em placas padronizadas e em material que não se deteriorefacilmente, conforme supracitado.
14/01/2020 as 15:21:33 Página 44/547Câmara Municipal de ChapecóProposição por Período (entre 01/01/2017 e 31/12/2019)Tipo: IndicaçãoNúmero Reunião Deliberação Origem Situação248/2017; 16/03/2017; 20/03/2017; Vereador;»»CLEITON MARCIO FOSSÁ;Aprovada;INDICANDO-LHE:Foi; recebido; por este vereador reclamação dos moradores da Servidão Alcides Nardi, Bairro Passo dos Fortes, acerca dascondições atuais daquela via.Afirmam que recentemente uma das tubulações de água estourou, mas, apesar de a CASAN ter resolvido o problema, aestrada acabou ficando em condições precárias de tráfego, o que é piorado em razão da preexistência de uma lombada naentrada da servidão, ali colocada por um dos moradores, que se transformou em verdadeira barreira após o estouro doreferido cano.Há dificuldade de os moradores que residem ao final da servidão adentrarem no local com seus veículos. A somar, osbueiros encontram-se entupidos.Pelo exposto, solicito o apoio dos nobres Vereadores para aprovação da presente indicação, para fins de que o Municípioprovidencie a limpeza dos bueiros, a manutenção da servidão e a retirada da barreira (lomabada) na supracitada rua.
249/2017; 16/03/2017; 21/03/2017; Vereador;»»ILDO ADÃO ANTONINI;Aprovada;INDICANDO-LHE:Que; a; Administração Municipal junto com a Defesa do Cidadão, esteja realizando estudos para a colocação de Taxões naRua Marcilio Dias, que faz cruzamento com a Rua Afonso Pena.Esta indicação se faz necessária, por ser uma rua íngreme, onde ocorrem diversos acidentes com danos materiais e comvítimas, dessa forma, atendendo a solicitação dos usuários da via.
250/2017; 16/03/2017; 20/03/2017; Vereador;»»DIEGO FERNANDO ALVES;Aprovada;INDICANDO-LHE:Que; seja; feita a pavimentação asfáltica ou calçamento na esquina das Ruas Rio de Janeiro com a Lauro Kirschner noBairro Presidente Médici, nas imediações da casa número 3170 D. A Rua Lauro Kirschner foi feita com pavimentaçãoasfáltica e a Rua Rio de Janeiro com calçamento. Porém a esquina de ligação das duas ruas é de terra e possui umainclinação que leva lama para a frente das residências. Esse local possui valetas que dificultam a passagem de automóveis. Solicita-se que tal demanda seja atendida com brevidade para o bem estar da população.
251/2017; 16/03/2017; 20/03/2017; Vereador;»»DIEGO FERNANDO ALVES;Aprovada;INDICANDO-LHE:Que; seja; feita a manutenção e revitalização nas estradas da comunidade Linha Sarapião.É de conhecimento de toda a população que as estradas da comunidade estão intransitáveis, principalmente em diaschuvosos.Até os jornais locais divulgaram relatos dos moradores.Este Edil já teve indicação aprovada por unanimidade em 15/02/2017 onde solicita o serviço de cascalhamento na região,mas até o momento tal demanda não foi atendida.Solicita-se que tal demanda seja atendida com brevidade para o bem estar da população.
252/2017; 17/03/2017; 21/03/2017; Vereador;»»ASTRIT MARIA SAVARIS TOZZO;Aprovada;14/01/2020; as; 15:21:33 Página 45/547Câmara Municipal de ChapecóProposição por Período (entre 01/01/2017 e 31/12/2019)Tipo: IndicaçãoNúmero Reunião Deliberação Origem SituaçãoINDICANDO-LHE:Que seja realizada pela Secretaria de Serviços Urbanos e Infraestrutura, a limpeza e a desobstrução das bocas de lobo naRua Itália, esquina com a Rua Clóvis Locatelli, Bairro Presidente Médici, neste Município.Neste viés, este gabinete recebeu reclamações dos moradores sobre o fato, onde as bocas de lobo existentes estãoentupidas e necessitam de reparos para melhor funcionamento. Ainda, há excesso de lixo, mau cheiro, inúmeros mosquitose baratas na boca de lobo, que são prejudiciais para a saúde pública, pois são agentes transmissores de doenças devido amicrorganismos patogênicos que se aderem a superfície dos mesmos ou ingeridos, tais como as bactérias causadoras dafurunculose, lepra, tuberculose, poliomielite e a diarréia.Dessa forma, diante de todos problemas elencados, é salutar à Administração Pública Municipal, elaborar alguma soluçãotécnica diante das reivindicações da comunidade, para melhoria dos problemas supracitados, sendo de grande valia aointeresse público local.
253/2017; 17/03/2017; 23/03/2017; Vereador;»»JOSE CELIO PORTELA;Aprovada;INDICANDO-LHE:Que; seja; realizada a operação tapa buraco junto às ruas do Bairro Jardim América, neste Município, em decorrência docrescente número de veículos que transitam pelo local, razão pela qual se faz necessária a manutenção destas vias.
254/2017; 17/03/2017; 20/03/2017; Vereador;»»CLEBER CECCON;Aprovada;INDICANDO-LHE:Que; a; Prefeitura Municipal de Chapecó, em conjunto com as empresas concessionárias do Transporte Coletivo deChapecó realize projeto e construção de um novo abrigo de passageiros do transporte coletivo, bem como a realização dalimpeza do ponto de ônibus, localizado na Rua Ernesto Braun, no Bairro Engenho Braun. Tal ação se faz necessária pois oponto localizado no local, não oferece condições de uso e está tomado pelo mato, conforme foto em anexo.A qualidade do transporte coletivo da nossa cidade passa também pela qualidade e eficiência dos abrigos do transportecoletivo. Os abrigos atuais do transporte coletivo do nosso município encontra-se em péssimas condições de uso,coberturas enferrujadas, destruídas, (a onde tem abrigos), que não protegem em nada os usuários do sol ou da chuva.
255/2017; 17/03/2017; 20/03/2017; Vereador;»»IVALDO PIZZINATTO;Aprovada;INDICANDO-LHE:Para; que; seja instalado um semáforo no cruzamento entre as Ruas Assis Brasil e Marechal Floriano Peixoto, esquina doCentro de Eventos Plinio Arlindo de Nês.Salientamos que este pedido se justifica uma vez que os empresários e moradores daquela região manifestaram a estegabinete a preocupação em garantir a segurança dos motoristas e pedestres, em sua grande maioria crianças e adolescentesque frequentam a Escola Estadual situada na mesma quadra. Importante destacar que o problema tende a se acravar nosdias que o Centro de Eventos tem eventos sendo realizados, até mesmo nos dias de jogo da Chapecoense.Sendo assim, com a implantação do semáforo haverá consequentemente maior segurança para população em geral que alitrafega diariamente.
256/2017; 17/03/2017; 20/03/2017; Vereador;»»DIEGO FERNANDO ALVES;Aprovada;INDICANDO-LHE:Que; seja; feita a manutenção e revitalização Rua Uruguai , próximo ao imóvel n° 459-D, Centro.Em tal trecho da via a Casan fez reparos na tubulação e removeu pedaços de asfalto e até o momento não foi feito areparação, deixando moradores e empresários locais obrigados a conviver com a grande poeira.Solicita-se que tal demanda seja atendida com brevidade para o bem estar da população.
257/2017; 20/03/2017; 21/03/2017; Vereador;»»CLEBER CECCON;Aprovada;14/01/2020; as; 15:21:33 Página 46/547Câmara Municipal de ChapecóProposição por Período (entre 01/01/2017 e 31/12/2019)Tipo: IndicaçãoNúmero Reunião Deliberação Origem SituaçãoINDICANDO-LHE:Que seja construída uma academia ao ar livre, junto a Comunidade Linha Boa Vista. Essa é uma reivindicação daslideranças da comunidade. Essa academia poderá ser utilizada por todos os moradores que desejam praticar atividadesfísicas, sendo uma forma de sair do sedentarismo, prevenindo doenças, promovendo a saúde. Faz-se necessário garantirestes equipamentos para melhor qualidade de vida dos moradores.
258/2017; 20/03/2017; 21/03/2017; Vereador;»»CLEBER CECCON;Aprovada;INDICANDO-LHE:Que; sejam; instaladas as placas de Identificação na Rua Umberto Barki, situada entre as quadras nº 851,1421, 1424 e 1425,do trecho entre as Ruas Ventura Migliorini e Piauí, no Bairro Santo Antonio, no município de Chapecó. Pois essa ruaainda não foi contemplada de acordo com a Lei Ordinária nº 5510/2009, que normatiza a padronização das placasindicativas dos logradouros, da cidade de Chapecó. A medida se faz necessária, devido a falta de placas de identificação,causando muitos transtornos aos moradores, como no recebimento de correspondências, dificultando o trabalho doscorreios na entrega das cartas e das pessoas que circulam todos os dias pelo Bairro Santo Antonio.
259/2017; 20/03/2017; 21/03/2017; Vereador;»»CLEITON MARCIO FOSSÁ;Aprovada;INDICANDO-LHE:Foi; recebido; por este Vereador reclamação dos moradores da Rua Tupinambás, Bairro Esplanada, acerca das condiçõesatuais daquela via.Afirmam que nas proximidades do nº 1413, as tubulações de escoamento de água estão completamente obstruídas. Comoconsequência, quando ocorrem fortes chuvas as residências ali são invadidas por água e sujeira.Pelo exposto, solicito o apoio dos Nobres Vereadores para aprovação da presente indicação, para fins de que o Municípioprovidencie a limpeza dos bueiros e tubos na supracitada rua.
260/2017; 20/03/2017; 21/03/2017; Vereador;»»CLEITON MARCIO FOSSÁ;Aprovada;INDICANDO-LHE:Foi; recebido; por este Vereador a solicitação de moradores do Bairro Trevo, a respeito da necessidade de disponibilizaçãode vagas integrais no CEIM lá localizado.O Bairro Trevo é bastante isolado das demais regiões da cidade, sendo que os pais que lá moram e trabalham nas demaisregiões da cidade em horário comercial, possuem sérias dificuldades na educação de seus filhos em razão da inexistênciade período integral no CEIM lá localizado.Pelo exposto, solicito o apoio dos nobres Vereadores para aprovação da presente indicação, para fins de disponibilizaçãode vagas integrais no CEIM do bairro Trevo.
261/2017; 20/03/2017; 22/03/2017; Vereador;»»JATIR JOSE BALBINOT;Aprovada;INDICANDO-LHE:Que; sejam; refeitas as pinturas das faixas de segurança de pedestres e colocação de placas de sinalização no Bairro BelaVista, Rua Brusque com Rua Delfim Moreira em frente a Praça Aloísio de Azevedo. Esta indicação é referente a pedidosde moradores e estudantes que necessitam atravessar a via constantemente, pois possui grande fluxo de veículos no local.Solicito o apoio dos Nobres Vereadores para aprovação da presente indicação.
262/2017; 20/03/2017; 22/03/2017; Vereador;»»JATIR JOSE BALBINOT;Aprovada;INDICANDO-LHE:Que; melhorias; sejam feitas no trecho da Rua Quatorze de Agosto, no Bairro Passo dos Fortes entre a Rua Jardel Filho eJoão Batista Zéca. Esta indicação é referente a diversos pedidos de moradores e demais pessoas que transitam pelo local.Solicito o apoio dos Nobres Vereadores para aprovação da presente indicação.
263/2017; 22/03/2017; 23/03/2017; Vereador;»»NEURI LUIZ MANTELLI;Aprovada;14/01/2020; as; 15:21:33 Página 47/547Câmara Municipal de ChapecóProposição por Período (entre 01/01/2017 e 31/12/2019)Tipo: IndicaçãoNúmero Reunião Deliberação Origem SituaçãoINDICANDO-LHE:Que seja realizado patrolamento e cascalhamento na Rua Horaides Prestes de Souza, Bairro Vila Real, nas proximidadesdos condomínios e pátio de apreensão de veículos. Nesta rua, o trânsito intenso de veículos e caminhões, com as forteschuvas dos últimos meses, fez surgir dezenas de buracos e desníveis causando transtornos aos motoristas que trafegam pelolocal, como também contribuído para aumentar o barro e a poeira dificultado a circulação de pedestres, sendo necessário,portanto, manutenção.
264/2017; 22/03/2017; 24/03/2017; Vereador;»»ARESTIDE FIDELIS;Aprovada;INDICANDO-LHE:Que; a; Administração Municipal encaminhe para Esta Casa Legislativa, Projeto de Lei tornando o dia 29 de novembro decada ano ponto facultativo e luto oficial no Município de Chapecó, devido ao passamento dos integrantes da delegação daAssociação Chapecoense de Futebol, sendo eles Atletas, Dirigentes, Imprensa e convidados.Pela consternação pública vivida na cidade de Chapecó, e para eternizar a memórias dos presentes neste terrível acidente,solicito aos Nobres Edis, aprovação da presente indicação para que esta data jamais seja esquecida.
265/2017; 22/03/2017; 23/03/2017; Vereador;»»ASTRIT MARIA SAVARIS TOZZO;Aprovada;INDICANDO-LHE:Que; a; Administração Municipal através da Secretaria responsável, realize a repintura da quadra do Ginásio da EscolaBásica Municipal Sereno Soprana, situado na Rua Andorinhas, Bairro Efapi, neste Município. Ademais, urge ressaltar quea solicitação surgiu da comunidade escolar, que necessita da repintura da quadra do Ginásio na Escola Básica MunicipalSereno Soprana, onde é realizada as atividades físicas escolares. Com a repintura da quadra, proporcionará aos alunos adevida segurança e zelo, inclusive também aos munícipes que moram nesta região da cidade, que usufruem em horário nãoutilizado pela escola, através da parceria entre a escola e a comunidade, a realização de atividades físicas e de lazer,contemplando diversas faixas etárias, que buscam uma melhor qualidade de vida. Dessa forma, diante de todos osproblemas elencados, é salutar à Administração Pública Municipal, elaborar alguma solução técnica diante dasreivindicações da comunidade escolar, para a melhoria dos problemas supracitados, sendo de grande valia ao interessepublico local.
